FID,YEAR_,DISTRICT,COSITE,ROADWAY,DESC_FRM,DESC_TO,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,Shape__Length
6202,2023,5,797036,79000151,HANGAR WAY,US-1,7600,F,F,F,F,1,79,Volusia,5,0,1.013,9,0,59.1,11.7,1626.3481,1626.34810344745
6203,2023,5,752070,75280094,I-4  / SR 400 EB,PAR ST,7100,F,F,F,W,F,75,Orange,5,0,0.101,8,0,99.9,4.5,166.1408,166.140777663155
6204,2023,2,780299,78002900,SHOPPING ENT,US-1/SR-5,28000,C,F,F,F,F,78,St. Johns,2,0.533,1.009,9,0,56.6,2.2,769.0156,769.015564426905
6205,2023,2,784023,78080030,GORE AT I-95 SB,GORE INTL GOLF PKWY,10000,C,F,F,W,F,78,St. Johns,2,0,0.342,9.5,0,99.9,24.1,499.7172,499.717242175703
6206,2023,5,797004,79000004,ABBEYVILLE ST,E NORMANDY BLVD,16300,F,F,F,F,1,79,Volusia,5,1.731,2.569,9,0,59.1,2.7,1355.0749,1355.07494641636
6207,2023,5,752299,75320006,CLARCONA-OCOEE RD,SR-429,1100,R,F,F,W,F,75,Orange,5,0,0.195,8,0,99.9,5.3,312.6003,312.600252532515
6208,2023,2,349116,34514000,SR-121,CR-343/NE 60 ST,1600,T,F,F,F,F,34,Levy,2,0,3.192,9.5,0,55,2.4,5135.0718,5135.07175200589
6209,2023,1,177031,17075013,I-75 NB,JACARANDA BLVD,7600,C,F,F,W,F,17,Sarasota,1,0,0.444,8,0,99.9,7.6,716.6498,716.649813312863
6210,2023,2,329112,32510000,SR-100/CR-6,GEORGIA STATE LINE,750,C,F,F,F,F,32,Hamilton,2,0,7.063,9,0,55.5,18.3,11374.334,11374.3339957718
6211,2023,5,778104,77000249,NORTH ST,SR 434,8900,S,F,F,F,F,77,Seminole,5,0,1.083,9,0,51.5,8.5,1740.8261,1740.82610480303
6212,2023,5,798380,79000161,SR-40,US-17/SR-15,1250,F,F,F,F,F,79,Volusia,5,0,7.437,9.5,0,59.1,8.1,11965.2521,11965.2521040214
6213,2023,5,772001,77160024,SR-436,SR-400 EB,11500,S,F,F,W,F,77,Seminole,5,0,0.115,8,0,99.9,7.4,185.6731,185.673094068615
6214,2023,2,329105,32070000,US-41/SR-25/PLUM ST,GEORGIA STATE LINE,1000,R,F,F,F,F,32,Hamilton,2,11.669,13.147,9.5,0,55.5,18.3,2378.6924,2378.69236724379
6215,2023,5,752289,75301039,SR 417 SB,MOSS PARK RD,4400,R,F,F,W,F,75,Orange,5,0,0.395,8,0,99.9,5.3,634.7582,634.758193612371
6216,2023,3,550282,55540000,US-319/SR-261/CAPITA,LONG AND WINDING RD,2100,C,F,F,F,A,55,Leon,3,2.17,10.387,9,0,66,5.4,13232.395,13232.3949882177
6217,2023,3,570019,57030000,HAMPTON INN,RESTAURANT ROW,7300,C,F,F,F,A,57,Okaloosa,3,20.695,20.935,9,0,58,2.6,387.4913,387.491291587859
6218,2023,5,797080,79000209,N/A,SPRUCE CREEK RD,12300,C,F,F,F,A,79,Volusia,5,1.25,2.066,9,0,59.1,7.8,1308.8334,1308.83335716141
6219,2023,5,797032,79000106,FAIRVIEW AVE,N BEACH ST,3700,F,F,F,F,1,79,Volusia,5,0.96,1.721,9,0,59.1,4.4,1230.2362,1230.23617691535
6220,2023,5,752034,75280168,I-4 / SR 400 WB,JOHN YOUNG PKWY,14500,F,F,F,W,F,75,Orange,5,0,0.567,8,0,99.9,4.5,910.1426,910.142568228338
6221,2023,5,115143,11002000,S 9 ST,S LAKE ST,25500,S,F,F,F,2,11,Lake,5,2.86,3.617,9,0,53.2,9,1216.2108,1216.21076219963
6222,2023,2,300029,30530000,HORSESHOE BCH,US-19/SE 19 HWY,650,T,F,F,F,F,30,Dixie,2,0,19.657,9.5,0,56.3,17.7,31627.6387,31627.6386733268
6223,2023,2,319115,31560000,SUWANNEE RIVER,US-129/SR-49,400,F,F,F,F,F,31,Gilchrist,2,0,7.047,9.5,0,54,6.4,11331.796,11331.7959985909
6224,2023,2,340016,34050000,SR-121,CR-326,5400,C,F,F,F,F,34,Levy,2,9.964,18.26,9.5,0,55,12,13344.0381,13344.0381283976
6225,2023,1,170050,17070000,MYAKKA VALLEY TRL,MYAKKA RIVER ST PK,3600,F,F,F,F,1,17,Sarasota,1,11.769,13.502,9.5,0,55.9,15,2785.0684,2785.06836514589
6226,2023,2,324408,32100024,GORE AT I-75 NB,GORE AT SR-143,250,C,F,F,W,F,32,Hamilton,2,0,0.208,9.5,0,99.9,29.4,347.639,347.639003703138
6227,2023,5,752238,75300016,SR 417 NB OFF RAMP,UNIVERSITY BLVD,8400,R,F,F,W,F,75,Orange,5,0,0.236,8,0,99.9,5.3,378.0334,378.033355584762
6228,2023,2,780240,78040000,N/A,N/A,22500,C,F,F,F,F,78,St. Johns,2,13.787,15.189,9,0,56.6,2.3,2256.307,2256.30696435461
6229,2023,5,772008,77160010,I-4/SR-400,LAKE MARY BLVD EB,14000,S,F,F,W,F,77,Seminole,5,0,0.524,8,0,99.9,8.5,842.2221,842.222081209869
6230,2023,5,752293,75301043,SR 417 SB,DOWDEN RD,5200,C,F,F,W,F,75,Orange,5,0,0.423,8,0,99.9,5.3,681.1684,681.168418278772
6231,2023,2,349125,34527000,CR-336,SR-121,550,X,F,F,F,F,34,Levy,2,0,6.378,9.5,0,55,2.4,10257.3315,10257.3315446045
6232,2023,1,170003,17110000,MIDNIGHT PASS,SR 45/US 41,26000,F,F,F,F,1,17,Sarasota,1,0,0.98,9,0,51.7,2.8,1574.6681,1574.66811407307
6233,2023,5,368006,36000018,36657002,N/A,27000,C,F,F,F,A,36,Marion,5,0,0.275,9,0,55.4,12.4,441.6213,441.621340409345
6234,2023,5,775052,77010000,N/A,SEMINOLE BLVD,8700,C,F,F,F,A,77,Seminole,5,13.37,13.609,9,0,51.5,2,385.2824,385.282372368528
6235,2023,2,370001,35010000,SE MAGNOLIA DR,SUWANNEE CO LINE,3600,C,F,F,F,F,35,Madison,2,28.607,36.206,9.5,0,55.5,5.6,12232.8422,12232.8421741533
6236,2023,5,180205,18030000,N/A,N/A,8500,C,F,F,F,F,18,Sumter,5,11.775,16.555,9.5,0,53.9,31.2,7689.1611,7689.16109017726
6237,2023,3,555064,55580000,CR-0361/OLD BAINBRID,N MLK JR BLVD,26000,C,F,F,F,A,55,Leon,3,3.41,4.266,9,0,66,1.8,1379.9622,1379.96221071722
6238,2023,5,110457,11000098,N/A,CR-561A,8122,C,A,A,A,A,11,Lake,5,4.2,5.777,9,0,59.9,10.9,2538.3182,2538.31817242769
6239,2023,3,570309,57090000, , ,8700,C,F,F,F,F,57,Okaloosa,3,2.674,3.239,9.5,0,64.7,4.7,911.9925,911.992459749307
6240,2023,2,789149,78000054,RACE TRACK RD,PHYSICAL GORE,18900,R,F,F,F,F,78,St. Johns,2,0,0.886,9,0,56.6,2.4,1425.178,1425.17798250083
6241,2023,2,784001,78080019,GORE AT CR-210,GORE AT I-95 SB,6400,C,F,F,W,F,78,St. Johns,2,0,0.193,9.5,0,99.9,24.1,296.2213,296.221302114233
6242,2023,5,798000,79000001,PROVIDENCE BLVD,SAXON BLVD,16900,F,F,F,F,F,79,Volusia,5,0,1.822,9,0,59.1,8.1,2929.5135,2929.51350245087
6243,2023,2,349111,34506000,CR-326,CR-337,250,R,F,F,F,F,34,Levy,2,0,10.217,9.5,0,55,2.4,16441.5566,16441.5566218906
6244,2023,1,177075,17075025,SR-758/BEE RIDGE RD,I-75 / SR-93 NB,4300,F,F,F,W,F,17,Sarasota,1,0,0.273,8,0,99.9,7.6,436.4559,436.455928497201
6245,2023,2,359109,35520000,CR-53,US-90/SR-10,2400,X,F,F,F,F,35,Madison,2,0,10.886,9.5,0,57,7.6,17520.09,17520.0899963044
6246,2023,2,785025,78040000,N/A,N/A,21000,C,F,F,F,F,78,St. Johns,2,15.749,16.214,9,0,56.6,2.3,748.3494,748.349382324341
6247,2023,5,770197,77120000,I-4/SR-400 EB,FL CENTRAL PKWY,42514,C,A,A,A,A,77,Seminole,5,5.151,7.473,9,0,53.5,5.2,3737.8078,3737.80783607789
6248,2023,2,320038,32050000,CR-141,N/A,2100,C,F,F,F,F,32,Hamilton,2,6.783,11.847,9.5,0,55.5,18.3,8154.8308,8154.83080969547
6249,2023,5,752269,75301019,SR 417 SB,BOGGY CREEK RD,1100,C,F,F,W,F,75,Orange,5,0,0.362,8,0,99.9,5.3,582.5825,582.582529000308
6250,2023,3,577706,57030112,CODY AVE,US-98/SR-30,5000,C,F,F,W,F,57,Okaloosa,3,0,0.183,9,0,99.9,4.9,291.6517,291.651687366539
6251,2023,5,979931,18470000,LAKE COUNTY LINE,Bridge No-180009,56245,C,D,D,D,A,18,Sumter,8,0,7.265,10.5,0,54.4,24.7,11664.0746,11664.0745993742
6252,2023,3,575039,57030000,BUSINESS ENT/EXIT,BROOKS ST SE,36000,C,F,F,F,F,57,Okaloosa,3,11.15,11.383,9,0,58,4.9,376.218,376.218029568788
6253,2023,5,798122,79000179,FORT SMITH BLVD,COURTLAND BLVD,8800,S,F,F,F,F,79,Volusia,5,0,3.275,9,0,59.1,8.1,5273.0604,5273.06037367629
6254,2023,5,798098,79000120,CLYDE MORRIS BLVD,S RIDGEWOOD AVE,7500,S,F,F,F,F,79,Volusia,5,0,2.629,9,0,59.1,4.9,4210.377,4210.37702290488
6255,2023,5,752074,75280098,I-4 WB,SR-426,7900,F,F,F,W,F,75,Orange,5,0,0.071,8,0,99.9,3.3,114.7569,114.756860921495
6256,2023,5,118106,11000195,FRIENDSHIP RD,SR-50,4800,C,F,F,F,A,11,Lake,5,0,1.523,9,0,53.2,4.1,2459.5213,2459.52126432689
6257,2023,2,340116,34010000,SR-26,NW 153 LN,14525,C,A,A,A,A,34,Levy,2,0,3.042,9.5,0,53.8,8.6,4898.8123,4898.81226968887
6258,2023,2,319001,31020000,SR-26,US-129/SR-49,1400,X,F,F,F,F,31,Gilchrist,2,0,11.457,9.5,0,54,6.4,18445.9586,18445.9586145876
6259,2023,5,797059,79000011,S RIDGEWOOD AVE,SR-44,2500,F,F,F,F,1,79,Volusia,5,0,0.811,9,0,59.1,5.7,1305.6795,1305.67954278604
6260,2023,5,752246,75300029,SR 417 SB,SR 408 EB,21500,C,F,F,W,F,75,Orange,5,0,0.263,8,0,99.9,5.3,431.6974,431.697392977133
6261,2023,5,115092,11010047,SR-44,702FT S OF NICHOLS,50000,F,F,F,F,F,11,Lake,5,2.228,2.463,9,0,53.2,6.4,378.77,378.769969039232
6262,2023,2,349103,34060000,US-41/SR-45,MARION CO LINE,2000,V,F,F,F,F,34,Levy,2,0,2.656,9.5,0,55,2.4,4275.0449,4275.04490969532
6263,2023,1,170361,17075000,Bridge No-170129,Bridge No-170090,72500,E,F,F,F,F,17,Sarasota,1,10.994,20.088,9,0,52.5,17.4,14638.0111,14638.011085382
6264,2023,2,354404,35090010,SR-14,I-10 EB,400,C,F,F,W,F,35,Madison,2,0,0.224,9.5,0,99.9,24.6,356.5368,356.536772689334
6265,2023,5,752227,75300004,LEE  VISTA BLVD,SR-417 N/B,4300,C,F,F,W,F,75,Orange,5,0,0.282,8,0,99.9,5.3,452.4405,452.440493744716
6266,2023,2,780266,78010000,N/A,N/A,40000,C,F,F,F,A,78,St. Johns,2,12.498,15.069,9,0,56.6,1.7,4139.2566,4139.25656524868
6267,2023,5,770028,77040000,MELLONVILLE AVE,E LAKE MARY BLVD,19400,F,F,F,F,1,77,Seminole,5,1.022,3.66,9,0,51.5,11,4241.1534,4241.15341182861
6268,2023,2,349105,34110000,NW 20 ST,NW 50 ST,1100,V,F,F,F,F,34,Levy,2,9.566,12.607,9.5,0,55,2.4,4892.3171,4892.31713397011
6269,2023,1,177035,17075016,JACARANDA BLVD,I-75 / SR 93 NB,1300,C,F,F,W,F,17,Sarasota,1,0,0.254,8,0,99.9,7.6,411.8739,411.873874887891
6270,2023,2,359115,35580000,N SR-53,NW CR-150,900,C,F,F,F,F,35,Madison,2,0,10.373,9.5,0,57,7.6,16691.0644,16691.0644310107
6271,2023,5,770104,77010000,SR-419,N/A,31000,F,F,F,F,F,77,Seminole,5,7.088,9.346,9,0,51.5,5.6,3639.6999,3639.69991741497
6272,2023,2,710015,78060000,CLAY CO LINE,SR-13,19000,C,F,F,F,F,78,St. Johns,2,0,2.305,9,0,54.3,9.1,3712.2722,3712.27220921708
6273,2023,2,300002,30010000,CR-358,SE 259 ST,5900,C,F,F,F,A,30,Dixie,2,5.098,16.253,9.5,0,56.3,17.7,17957.7503,17957.7503332875
6274,2023,2,325010,32060000,US41/SR25/100/2NDAVE,COLUMBIA CO LINE,750,R,F,F,F,F,32,Hamilton,2,0,14.902,9,0,55.5,18.3,23985.0928,23985.0927928064
6275,2023,5,752285,75301035,SR 417 SB,LAKE NONA BLVD,6800,C,F,F,W,F,75,Orange,5,0,0.38,8,0,99.9,5.3,610.8151,610.815125438769
6276,2023,3,571704,57040000,SHOPPING CTR,YACHT CLUB DR,41000,C,F,F,F,F,57,Okaloosa,3,1.19,1.638,9,0,51.9,4.5,723.5077,723.507693652296
6277,2023,5,973044,18470025,US 301/SR 35,SR 91 SB,3600,C, , , ,F,18,Sumter,8,0,0.197,9.5,0,0,21.9,317.0828,317.082788868404
6278,2023,3,570019,57030000,N/A,N/A,7300,C,F,F,F,A,57,Okaloosa,3,22.345,23.89,9,0,58,2.6,2494.8663,2494.86631334191
6279,2023,5,798118,79000174,GRAND AVE,N SPRING GARDEN AVE,5800,F,F,F,F,F,79,Volusia,5,0,1.714,9,0,59.1,4.9,2747.4898,2747.4898409558
6280,2023,5,798087,79000109,WILLIAMSON BLVD,SR 5A/NOVA RD,12200,F,F,F,F,F,79,Volusia,5,0.851,3.833,9,0,59.1,4.9,4798.8692,4798.86920324981
6281,2023,5,752077,75280102,SR 423,I-4 EB,13000,F,F,F,W,F,75,Orange,5,0,0.088,8,0,99.9,4,139.5172,139.517224503729
6282,2023,5,118044,11000118,DIXIE AVE,NORTH BLVD,3300,C,F,F,F,A,11,Lake,5,0,0.609,9,0,53.2,2,978.577,978.577028260498
6283,2023,2,340228,34010000,N/A,N/A,11600,C,F,F,F,F,34,Levy,2,35.555,35.965,9.5,0,55,10.6,660.2157,660.21569745932
6284,2023,2,319106,31508000,NW 180 ST,SR-26,1800,R,F,F,F,F,31,Gilchrist,2,0,0.182,9.5,0,54,6.4,301.1113,301.111348308649
6285,2023,2,320016,32010000,N/A,N/A,7000,E,F,F,F,F,32,Hamilton,2,19.24,20.148,9,0,55.5,8.8,1461.1557,1461.15565308183
6286,2023,5,752283,75301033,SR 417 NB,LAKE NONA BLVD,8000,C,F,F,W,F,75,Orange,5,0,0.234,8,0,99.9,5.3,373.5391,373.539085843858
6287,2023,2,340279,34030101,GORE AT SR-121 NB,US-19 / US-98,1100,E,F,F,W,F,34,Levy,2,0,0.067,9.5,0,99.9,7.8,107.3311,107.331117749547
6288,2023,1,177002,17075002,CR-779 /TOLEDO BLADE,I-75 / SR-93 SB,3900,F,F,F,W,F,17,Sarasota,1,0,0.282,9,0,99.9,7.6,448.9503,448.950300409205
6289,2023,2,354410,35090013,SR-53,I-10 WB,750,C,F,F,W,F,35,Madison,2,0,0.183,9.5,0,99.9,24.6,291.7123,291.712297158636
6290,2023,5,752231,75300008,SR-417 S/B,CURRY FORD RD,5100,C,F,F,W,F,75,Orange,5,0,0.277,8,0,99.9,5.3,441.6006,441.600594161918
6291,2023,2,780271,78051000,78080011 SB ON,N/A,34000,C,F,F,F,F,78,St. Johns,2,12.63,16.097,9.5,0,56.6,6.4,5577.681,5577.68100370384
6292,2023,5,770268,77160000,LAKE MARY BLVD,Bridge No-770008,170500,X,F,F,F,F,77,Seminole,5,8.26,11.2,8,0,51.5,6.5,4729.961,4729.96099367271
6293,2023,3,575057,57060000,US-90/SR-10,LONG DR,29500,C,F,F,F,2,57,Okaloosa,3,0,0.57,9,0,51.9,3.7,919.9746,919.974619601486
6294,2023,3,575091,57003000,SR-189/BEAL PKWY,DENTON BLVD,27500,C,F,F,F,A,57,Okaloosa,3,0,0.883,9,0,51.9,3,1426.9261,1426.9261237085
6295,2023,5,752346,75320036,SCHOFIELD RD,SR 429 NB,650,X,F,F,W,F,75,Orange,5,0,0.206,8,0,99.9,4,329.6717,329.671746120819
6296,2023,2,784017,78080016,GORE AT I-95 NB,GORE AT SR-16,5800,C,F,F,W,F,78,St. Johns,2,0,0.179,9.5,0,99.9,24.1,280.335,280.335015576793
6297,2023,2,319102,31501000,US-129/SR-49,SR-47,1000,V,F,F,F,F,31,Gilchrist,2,0,8.079,9.5,0,54,6.4,13001.9143,13001.9143253688
6298,2023,5,797006,79000009,ELKCAM BLVD,SAXON BLVD,15900,F,F,F,F,1,79,Volusia,5,0,1.028,9,0,59.1,2.1,1653.6606,1653.66057955953
6299,2023,5,752252,75301002,SR 417 NB,SR 528 WB,2400,R,F,F,W,F,75,Orange,5,0,0.94,9.5,0,99.9,5.3,1510.9386,1510.93863440844
6300,2023,5,112007,11010008,SR-500,SR-46,750,S,F,F,W,F,11,Lake,5,0,0.648,9,0,99.9,6.4,1042.5026,1042.50263685168
6301,2023,2,789105,78000021,US-1/SR-5,SHORE DR,4100,V,F,F,F,F,78,St. Johns,2,0,0.63,9,0,56.6,1.7,1008.5739,1008.57391291993
6302,2023,2,355009,35070000,N/A,N/A,5800,C,F,F,F,F,35,Madison,2,16.071,16.278,9.5,0,57,6,333.2508,333.250803658143
6303,2023,5,182019,18130005,N/A,I-75 / SR 93,1400,X,F,F,W,F,18,Sumter,5,0.125,0.286,9.5,0,99.9,22.3,257.7497,257.749684580836
6304,2023,1,174497,17030101,S BLVD OF PRESIDENTS,JOHN RINGLING BLVD,12000,S,F,F,W,2,17,Sarasota,1,0.114,0.179,9,0,99.9,2.6,107.2781,107.278052483491
6305,2023,5,752452,75280185, , ,2900,C, , , , ,75,Orange,5,0,0.134,9,0,0,0,215.6534,215.653403502977
6306,2023,2,784028,78004003,GORE AT SR-9B,GORE AT PEYTON PKWY,9600,C,F,F,W,F,78,St. Johns,2,0,0.294,9.5,0,99.9,24.1,472.8208,472.820806920321
6307,2023,5,770135,77060000,WINTER SPRINGS BLVD,N/A,17300,F,F,F,F,1,77,Seminole,5,5.968,7.375,9,0,51.5,6.2,2264.3528,2264.35278934477
6308,2023,2,330011,33010000,N/A,SR-51/SW FLETCHER AV,4800,C,F,F,F,F,33,Lafayette,2,13.288,13.592,9.5,0,57,16.5,489.3516,489.351613706977
6309,2023,5,750667,75320000,N/A,US-441/SR-500,7800,F,F,F,F,F,75,Orange,5,38.132,40,8,0,56.1,4.3,3007.0539,3007.0539363137
6310,2023,2,789131,78512000,SR-A1A,PONTE VEDRA BLVD,6400,C,F,F,F,F,78,St. Johns,2,0,0.594,9,0,56.6,1.7,951.7305,951.730538078284
6311,2023,1,175019,17120000,17TH ST,CR 778/DESOTO RD,49000,F,D,D,D,1,17,Sarasota,1,1.624,3.648,9,0,54.5,4.6,3230.3269,3230.3268645929
6312,2023,2,330008,33030000,SE MANX RD,E US-27/SR-20,2400,C,F,F,F,A,33,Lafayette,2,0,8.724,9.5,0,57,13,14039.485,14039.4849923182
6313,2023,5,778115,77000260,SR-436,BUTTON RD,2800,S,F,F,F,F,77,Seminole,5,0,1.569,9,0,51.5,8.5,2535.5192,2535.51924158958
6314,2023,2,350009,35010000,CR-150/LOVETT RD,N/A,2500,C,F,F,F,F,35,Madison,2,8.243,17.443,9.5,0,57,6,14810.2208,14810.2208411806
6315,2023,5,180009,18060000,SW 18 WAY,BELT AVE,12500,F,F,F,F,1,18,Sumter,5,8.601,9.999,9.5,0,53.9,8.9,2249.7114,2249.71143669265
6316,2023,3,553028,55580001,SR-263/CAPITAL CIR,BLOUNSTOWN ST,6900,C,F,F,F,A,55,Leon,3,0,0.97,9,0,69.5,5.7,1574.6659,1574.66587126015
6317,2023,5,118026,11000102,SR-25,S HANCOCK RD,8000,C,F,F,F,A,11,Lake,5,0,1.568,9,0,53.2,5,2533.3186,2533.31864407863
6318,2023,5,752020,75280085,SR 482,I-4 WB,7200,F,F,F,W,F,75,Orange,5,0,0.173,8,0,99.9,3.7,278.9221,278.922058084341
6319,2023,2,299106,29502000,SE CR-245,UNION CO LINE,250,R,F,F,F,F,29,Columbia,2,0,2.695,9.5,0,54.3,7.3,4331.461,4331.46099957849
6320,2023,5,775050,77030000,S MANGOUSTINE AVE,FRENCH AVE/US 17-92,22000,F,F,F,F,F,77,Seminole,5,8.357,8.929,9,0,51.5,8.5,920.4471,920.447052100836
6321,2023,2,349136,34660000,SR-55,CR-341,800,C,F,F,F,F,34,Levy,2,0,2.316,9.5,0,55,2.4,3727.2707,3727.27066987595
6322,2023,2,340117,34070000,N/A,ALACHUA CO LINE,3600,C,F,F,F,F,34,Levy,2,32.953,39.818,9.5,0,55,13.4,11035.4962,11035.4962280233
6323,2023,1,177001,17075001,I-75 / SR-93 NB,CR-779/TOLEDO BLADE,4000,F,F,F,W,F,17,Sarasota,1,0,0.303,9.5,0,99.9,7.6,493.4986,493.498620386354
6324,2023,2,359105,35503000,GEORGIA STATE LINE,NW CR-253,200,R,F,F,F,F,35,Madison,2,0,5.417,9.5,0,57,7.6,8726.6498,8726.64984993737
6325,2023,2,780108,78051000,N/A,78080011 SB ON,18000,C,F,F,F,F,78,St. Johns,2,8.528,12.63,9.5,0,56.6,6.4,6599.4069,6599.40687799876
6326,2023,5,770099,77120000,SR-436/ALTAMONTE DR,LAKE RENA DR,44500,C,F,F,F,A,77,Seminole,5,1.882,3.375,9,0,51.5,2.5,2403.4556,2403.45558541048
6327,2023,5,752278,75301028,RAMP 75301002,RAMP 75300001,10000,C,F,F,W,F,75,Orange,5,0,0.293,9.5,0,99.9,5.3,471.3454,471.345372230541
6328,2023,3,577722,57040200,N/A,N/A,1500,C,F,F,F,F,57,Okaloosa,3,0.288,0.793,9.5,0,61.3,11.6,814.6572,814.657196525916
6329,2023,5,182005,18130014,SR-48,I-75 / SR-93,4700,S,F,F,W,F,18,Sumter,5,0,0.259,9.5,0,99.9,26.5,416.3635,416.363504510554
6330,2023,3,572607,57002007,I-10/SR-8,SR-85/ S FERDON BLVD,3100,C,F,F,W,F,57,Okaloosa,3,0,0.228,9,0,99.9,4.6,354.0068,354.006836982475
6331,2023,5,798195,79000204,MCGREGOR ROAD,W BERESFORD AVENUE,2700,S,F,F,F,F,79,Volusia,5,0,2.03,9,0,59.1,9.8,3265.0812,3265.08116346602
6332,2023,5,798096,79000117,BEACH ST,DUNLAWTON BLVD,2700,F,F,F,F,1,79,Volusia,5,0,5.291,9,0,59.1,1.2,8503.6032,8503.60321014991
6333,2023,2,299116,29630500,238/SUWANNEE CO LINE,SR-247,1100,X,F,F,F,F,29,Columbia,2,0,7.798,9.5,0,54.3,3.6,12550.8889,12550.8888996411
6334,2023,5,797029,79000098,SR-5A/NOVA RD,GRAHAM ST,7900,F,F,F,F,1,79,Volusia,5,1.13,1.978,9,0,59.1,6.3,1364.6087,1364.6087236938
6335,2023,2,324407,32100015,GORE AT I-75 SB,GORE AT SR-6,1900,C,F,F,W,F,32,Hamilton,2,0,0.209,9.5,0,99.9,29.4,332.1059,332.105928587917
6336,2023,5,181003,18030000,CR-48,N/A,8900,C,F,F,F,A,18,Sumter,5,10.768,11.775,9.5,0,53.9,39,1619.5701,1619.57014504801
6337,2023,3,553017,55580000,MERIADOC RD,HIGH RD,18300,C,F,F,F,A,55,Leon,3,1.671,2.6,9,0,69.5,2.3,1497.5685,1497.56853751074
6338,2023,5,753054,75280901, , ,17500,C, , , , ,75,Orange,5,9.821,12.943,9,0,99.9,0,5023.9309,5023.93092934164
6339,2023,5,752019,75280091,I-4  / SR 400 WB,SR 482 WB,12500,F,F,F,W,F,75,Orange,5,0,0.965,8,0,99.9,3.7,1553.1263,1553.1262612146
6340,2023,2,290270,29503000,SW CR-242,US-90/SR-10,5600,C,F,F,F,F,29,Columbia,2,0,4.795,9,0,54.3,3.6,7704.6659,7704.66591467034
6341,2023,2,784018,78080018,GORE AT SR-16,GORE AT I-95 NB,7400,C,F,F,W,F,78,St. Johns,2,0,0.244,9.5,0,99.9,24.1,384.1558,384.155804240189
6342,2023,5,752301,75320008,SR-429,WEST RD,550,R,F,F,W,F,75,Orange,5,0,0.239,8,0,99.9,5.3,383.8785,383.878502782918
6343,2023,2,349120,34519000,WACCASASSA RIVER,US-19/US-98/SR-55,300,T,F,F,F,F,34,Levy,2,0,3.864,9.5,0,55,2.4,6218.9575,6218.95751908763
6344,2023,1,175047,17080000,SR 72-STICKNEY PT RD,CR 789A/BEACH RD,18600,F,F,F,F,1,17,Sarasota,1,0,1.238,9,0,51.7,3,1998.3386,1998.33857887041
6345,2023,2,329120,32590000,US-41,US-41,850,X,F,F,F,F,32,Hamilton,2,0,13.551,9.5,0,55.5,18.3,21799.6266,21799.626566341
6346,2023,3,577703,57050104,SR-85,SR-210,1400,C,F,F,W,F,57,Okaloosa,3,0,0.246,9.5,0,99.9,4.6,395.7039,395.703894015753
6347,2023,5,752313,75320024,S/B SR 429,NEW INDEPENDENCE PKY,5600,R,F,F,W,F,75,Orange,5,0,0.289,8,0,99.9,5.3,463.5111,463.511135540932
6348,2023,2,784011,78080009,GORE AT I-95 SB,GORE AT SR-206,3600,C,F,F,W,F,78,St. Johns,2,0,0.231,9.5,0,99.9,24.1,354.2642,354.264163846897
6349,2023,2,789124,78590500,CR-13,CR-13A,400,X,F,F,F,F,78,St. Johns,2,0,6.381,9.5,0,56.6,1.7,10267.9967,10267.9966575007
6350,2023,1,175029,17080000,SIESTA DR,SR 45/US 41,14000,S,F,F,F,2,17,Sarasota,1,5.318,5.771,9,0,51.7,2.7,731.2991,731.299123599696
6351,2023,2,290248,29640000,SW CR-18,US41/US441/SR-25,1100,C,F,F,F,F,29,Columbia,2,0,14.409,9,0,54.3,3.6,23185.573,23185.572992368
6352,2023,2,789003,78000009,SR-207,SR-16,17500,C,F,F,F,F,78,St. Johns,2,0,3.811,9,0,56.6,1.7,6130.0927,6130.09267124938
6353,2023,2,540218,35050000,NW REAPER CHRUCH RD,JEFFERSON CO LINE,800,C,F,F,F,F,35,Madison,2,16.811,19.356,9.5,0,58.9,31.3,4098.3115,4098.31152638885
6354,2023,5,182003,18130007,CR-476B,I-75 / SR-93,2100,S,F,F,W,F,18,Sumter,5,0,0.199,9.5,0,99.9,26.5,318.8378,318.837774888351
6355,2023,3,560210,56020000,CONC POST FAP FH13A,CR-379,300,C,F,F,F,F,56,Liberty,3,0,6.649,9.5,0,59,17.5,10707.5903,10707.5902848021
6356,2023,5,753010,75280901, , ,28500,C, , , , ,75,Orange,5,5.204,5.816,9,0,99.9,0,984.8138,984.813762778492
6357,2023,2,789108,78000040,SR-16,HOLMES BLVD,13500,R,F,F,F,F,78,St. Johns,2,0,0.871,9,0,56.6,1.7,1402.6944,1402.69442651511
6358,2023,5,770004,77030000,AIRPORT BLVD,S MANGOUSTINE AVE,24500,S,F,F,F,F,77,Seminole,5,7.421,8.357,9,0,51.5,8.5,1506.1601,1506.16012007935
6359,2023,5,752292,75301042,DOWDEN RD,SR 417 SB,2300,C,F,F,W,F,75,Orange,5,0,0.29,8,0,99.9,5.3,466.7057,466.705659438697
6360,2023,2,345006,34110000,SW 7TH ST,US-19/SR-55/MAIN ST,3700,C,F,F,F,F,34,Levy,2,18.908,19.302,9.5,0,55,4.4,633.8178,633.817796596763
